,Clase de disolución,Año,Comunidad Autónoma,Número Sociedades
240,Otras,2018,"13 Madrid, Comunidad de",458
241,Otras,2018,"14 Murcia, Región de",111
242,Otras,2018,"15 Navarra, Comunidad Foral de",33
243,Otras,2018,16 País Vasco,162
244,Otras,2018,"17 Rioja, La",9
245,Otras,2018,18 Ceuta,5
246,Otras,2018,19 Melilla,2
247,Por fusión,2018,01 Andalucía,286
248,Por fusión,2018,02 Aragón,61
249,Por fusión,2018,"03 Asturias, Principado de",29
250,Por fusión,2018,"04 Balears, Illes",46
251,Por fusión,2018,05 Canarias,54
252,Por fusión,2018,06 Canarias,11
253,Por fusión,2018,07 Castilla y León,61
254,Por fusión,2018,08 Castilla-La Mancha,151
255,Por fusión,2018,09 Cataluña,144
256,Por fusión,2018,10 Comunitat Valenciana,106
257,Por fusión,2018,11 Extremadura,7
258,Por fusión,2018,12 Galicia,82
259,Por fusión,2018,"13 Madrid, Comunidad de",1163
260,Por fusión,2018,"14 Murcia, Región de",51
261,Por fusión,2018,"15 Navarra, Comunidad Foral de",56
262,Por fusión,2018,16 País Vasco,148
263,Por fusión,2018,"17 Rioja, La",11
264,Por fusión,2018,18 Ceuta,4
265,Por fusión,2018,19 Melilla,0
266,Voluntaria,2018,01 Andalucía,2617
267,Voluntaria,2018,02 Aragón,654
268,Voluntaria,2018,"03 Asturias, Principado de",366
269,Voluntaria,2018,"04 Balears, Illes",933
270,Voluntaria,2018,05 Canarias,789
271,Voluntaria,2018,06 Canarias,222
272,Voluntaria,2018,07 Castilla y León,803
273,Voluntaria,2018,08 Castilla-La Mancha,333
274,Voluntaria,2018,09 Cataluña,1240
275,Voluntaria,2018,10 Comunitat Valenciana,1114
276,Voluntaria,2018,11 Extremadura,264
277,Voluntaria,2018,12 Galicia,1180
278,Voluntaria,2018,"13 Madrid, Comunidad de",5197
279,Voluntaria,2018,"14 Murcia, Región de",182
280,Voluntaria,2018,"15 Navarra, Comunidad Foral de",5
281,Voluntaria,2018,16 País Vasco,1085
282,Voluntaria,2018,"17 Rioja, La",103
283,Voluntaria,2018,18 Ceuta,14
284,Voluntaria,2018,19 Melilla,14
285,Otras,2017,01 Andalucía,376
286,Otras,2017,02 Aragón,76
287,Otras,2017,"03 Asturias, Principado de",56
288,Otras,2017,"04 Balears, Illes",45
289,Otras,2017,05 Canarias,60
290,Otras,2017,06 Canarias,61
291,Otras,2017,07 Castilla y León,112
292,Otras,2017,08 Castilla-La Mancha,88
293,Otras,2017,09 Cataluña,370
294,Otras,2017,10 Comunitat Valenciana,443
295,Otras,2017,11 Extremadura,41
296,Otras,2017,12 Galicia,179
297,Otras,2017,"13 Madrid, Comunidad de",446
298,Otras,2017,"14 Murcia, Región de",102
299,Otras,2017,"15 Navarra, Comunidad Foral de",43
300,Otras,2017,16 País Vasco,174
301,Otras,2017,"17 Rioja, La",10
302,Otras,2017,18 Ceuta,0
303,Otras,2017,19 Melilla,2
304,Por fusión,2017,01 Andalucía,424
305,Por fusión,2017,02 Aragón,64
306,Por fusión,2017,"03 Asturias, Principado de",25
307,Por fusión,2017,"04 Balears, Illes",67
308,Por fusión,2017,05 Canarias,48
309,Por fusión,2017,06 Canarias,11
310,Por fusión,2017,07 Castilla y León,80
311,Por fusión,2017,08 Castilla-La Mancha,37
312,Por fusión,2017,09 Cataluña,161
313,Por fusión,2017,10 Comunitat Valenciana,134
314,Por fusión,2017,11 Extremadura,19
315,Por fusión,2017,12 Galicia,89
316,Por fusión,2017,"13 Madrid, Comunidad de",892
317,Por fusión,2017,"14 Murcia, Región de",35
318,Por fusión,2017,"15 Navarra, Comunidad Foral de",39
319,Por fusión,2017,16 País Vasco,141
320,Por fusión,2017,"17 Rioja, La",2
321,Por fusión,2017,18 Ceuta,1
322,Por fusión,2017,19 Melilla,1
323,Voluntaria,2017,01 Andalucía,2691
324,Voluntaria,2017,02 Aragón,631
325,Voluntaria,2017,"03 Asturias, Principado de",347
326,Voluntaria,2017,"04 Balears, Illes",804
327,Voluntaria,2017,05 Canarias,735
328,Voluntaria,2017,06 Canarias,184
329,Voluntaria,2017,07 Castilla y León,851
330,Voluntaria,2017,08 Castilla-La Mancha,248
331,Voluntaria,2017,09 Cataluña,1184
332,Voluntaria,2017,10 Comunitat Valenciana,1096
333,Voluntaria,2017,11 Extremadura,305
334,Voluntaria,2017,12 Galicia,1163
335,Voluntaria,2017,"13 Madrid, Comunidad de",5011
336,Voluntaria,2017,"14 Murcia, Región de",111
337,Voluntaria,2017,"15 Navarra, Comunidad Foral de",10
338,Voluntaria,2017,16 País Vasco,1102
339,Voluntaria,2017,"17 Rioja, La",130
340,Voluntaria,2017,18 Ceuta,15
341,Voluntaria,2017,19 Melilla,15
342,Otras,2016,01 Andalucía,477
343,Otras,2016,02 Aragón,116
344,Otras,2016,"03 Asturias, Principado de",80
345,Otras,2016,"04 Balears, Illes",85
346,Otras,2016,05 Canarias,84
347,Otras,2016,06 Canarias,34
348,Otras,2016,07 Castilla y León,106
349,Otras,2016,08 Castilla-La Mancha,87
350,Otras,2016,09 Cataluña,662
351,Otras,2016,10 Comunitat Valenciana,546
352,Otras,2016,11 Extremadura,37
353,Otras,2016,12 Galicia,202
354,Otras,2016,"13 Madrid, Comunidad de",406
355,Otras,2016,"14 Murcia, Región de",81
356,Otras,2016,"15 Navarra, Comunidad Foral de",58
357,Otras,2016,16 País Vasco,225
358,Otras,2016,"17 Rioja, La",10
359,Otras,2016,18 Ceuta,0
360,Otras,2016,19 Melilla,3
361,Por fusión,2016,01 Andalucía,259
362,Por fusión,2016,02 Aragón,45
363,Por fusión,2016,"03 Asturias, Principado de",51
