Estados Sociedades;Actividad económica;Periodo;Total
Disueltas;Industria y energía;2015M08;11,56
Disueltas;Industria y energía;2015M07;10,13
Disueltas;Industria y energía;2015M06;13,04
Disueltas;Industria y energía;2015M05;10,76
Disueltas;Industria y energía;2015M04;8,75
Disueltas;Industria y energía;2015M03;12,25
Disueltas;Industria y energía;2015M02;11,04
Disueltas;Industria y energía;2015M01;9,65
Disueltas;Industria y energía;2014M12;13,44
Disueltas;Industria y energía;2014M11;10
Disueltas;Industria y energía;2014M10;12,73
Disueltas;Industria y energía;2014M09;12,31
Disueltas;Industria y energía;2014M08;10,01
Disueltas;Industria y energía;2014M07;10,06
Disueltas;Industria y energía;2014M06;12,84
Disueltas;Industria y energía;2014M05;13,71
Disueltas;Industria y energía;2014M04;12,67
Disueltas;Industria y energía;2014M03;12,14
Disueltas;Industria y energía;2014M02;20,05
Disueltas;Industria y energía;2014M01;12,27
Disueltas;Industria y energía;2013M12;12,83
Disueltas;Industria y energía;2013M11;18,01
Disueltas;Industria y energía;2013M10;15,87
Disueltas;Industria y energía;2013M09;15,04
Disueltas;Industria y energía;2013M08;11,98
Disueltas;Industria y energía;2013M07;13,32
Disueltas;Industria y energía;2013M06;14,98
Disueltas;Industria y energía;2013M05;13,18
Disueltas;Industria y energía;2013M04;11,95
Disueltas;Industria y energía;2013M03;14,65
Disueltas;Industria y energía;2013M02;13,65
Disueltas;Industria y energía;2013M01;12,84
Disueltas;Industria y energía;2012M12;17,5
Disueltas;Industria y energía;2012M11;13,24
Disueltas;Industria y energía;2012M10;14,6
Disueltas;Industria y energía;2012M09;14,75
Disueltas;Industria y energía;2012M08;14,47
Disueltas;Industria y energía;2012M07;16,27
Disueltas;Industria y energía;2012M06;16,87
Disueltas;Industria y energía;2012M05;13,65
Disueltas;Industria y energía;2012M04;14,12
Disueltas;Industria y energía;2012M03;14
Disueltas;Industria y energía;2012M02;14,53
Disueltas;Industria y energía;2012M01;13,25
Disueltas;F Construcción;2023M09;17,85
Disueltas;F Construcción;2023M08;14,43
Disueltas;F Construcción;2023M07;16,95
Disueltas;F Construcción;2023M06;16,84
Disueltas;F Construcción;2023M05;16,16
Disueltas;F Construcción;2023M04;17,02
Disueltas;F Construcción;2023M03;16,58
Disueltas;F Construcción;2023M02;15,6
Disueltas;F Construcción;2023M01;15,53
Disueltas;F Construcción;2022M12;17,15
Disueltas;F Construcción;2022M11;15,78
Disueltas;F Construcción;2022M10;15,32
Disueltas;F Construcción;2022M09;17,63
Disueltas;F Construcción;2022M08;15,45
Disueltas;F Construcción;2022M07;15,3
Disueltas;F Construcción;2022M06;18,34
Disueltas;F Construcción;2022M05;18,34
Disueltas;F Construcción;2022M04;18,35
Disueltas;F Construcción;2022M03;13,99
Disueltas;F Construcción;2022M02;17,46
Disueltas;F Construcción;2022M01;17,58
Disueltas;F Construcción;2021M12;17,93
Disueltas;F Construcción;2021M11;17,93
Disueltas;F Construcción;2021M10;15,07
Disueltas;F Construcción;2021M09;14,04
Disueltas;F Construcción;2021M08;16,98
Disueltas;F Construcción;2021M07;17,49
Disueltas;F Construcción;2021M06;14,42
Disueltas;F Construcción;2021M05;16,55
Disueltas;F Construcción;2021M04;14,59
Disueltas;F Construcción;2021M03;16,86
Disueltas;F Construcción;2021M02;17,71
Disueltas;F Construcción;2021M01;16,33
Disueltas;F Construcción;2020M12;16,66
Disueltas;F Construcción;2020M11;14,56
Disueltas;F Construcción;2020M10;13,88
Disueltas;F Construcción;2020M09;13,1
Disueltas;F Construcción;2020M08;17,14
Disueltas;F Construcción;2020M07;15,97
Disueltas;F Construcción;2020M06;14,94
Disueltas;F Construcción;2020M05;17,23
Disueltas;F Construcción;2020M04;17,29
Disueltas;F Construcción;2020M03;16,27
Disueltas;F Construcción;2020M02;16,92
Disueltas;F Construcción;2020M01;16,58
Disueltas;F Construcción;2019M12;16,07
Disueltas;F Construcción;2019M11;17,38
Disueltas;F Construcción;2019M10;16,74
Disueltas;F Construcción;2019M09;14,01
Disueltas;F Construcción;2019M08;16,29
Disueltas;F Construcción;2019M07;13,87
Disueltas;F Construcción;2019M06;16,42
Disueltas;F Construcción;2019M05;13,27
Disueltas;F Construcción;2019M04;15,92
Disueltas;F Construcción;2019M03;19,17
Disueltas;F Construcción;2019M02;17,59
Disueltas;F Construcción;2019M01;11,7
Disueltas;F Construcción;2018M12;13,99
Disueltas;F Construcción;2018M11;15,91
Disueltas;F Construcción;2018M10;12,6
Disueltas;F Construcción;2018M09;14,08
Disueltas;F Construcción;2018M08;13,01
Disueltas;F Construcción;2018M07;12,81
Disueltas;F Construcción;2018M06;16,78
Disueltas;F Construcción;2018M05;18,58
Disueltas;F Construcción;2018M04;17,91
Disueltas;F Construcción;2018M03;14,74
Disueltas;F Construcción;2018M02;15,94
Disueltas;F Construcción;2018M01;15,01
Disueltas;F Construcción;2017M12;15,36
Disueltas;F Construcción;2017M11;16,68
Disueltas;F Construcción;2017M10;15,1
Disueltas;F Construcción;2017M09;18,22
Disueltas;F Construcción;2017M08;19,89
Disueltas;F Construcción;2017M07;18,3
Disueltas;F Construcción;2017M06;20,57
Disueltas;F Construcción;2017M05;20,55
Disueltas;F Construcción;2017M04;21,07
Disueltas;F Construcción;2017M03;18,69
Disueltas;F Construcción;2017M02;19,56
Disueltas;F Construcción;2017M01;17,64
Disueltas;F Construcción;2016M12;18,21
Disueltas;F Construcción;2016M11;18,27
Disueltas;F Construcción;2016M10;16,47
Disueltas;F Construcción;2016M09;19,3
Disueltas;F Construcción;2016M08;16,87
Disueltas;F Construcción;2016M07;20,15
Disueltas;F Construcción;2016M06;18,04
Disueltas;F Construcción;2016M05;20,36
Disueltas;F Construcción;2016M04;19,45
Disueltas;F Construcción;2016M03;19,12
Disueltas;F Construcción;2016M02;19,56
Disueltas;F Construcción;2016M01;15,79
Disueltas;F Construcción;2015M12;19,86
Disueltas;F Construcción;2015M11;20,47
Disueltas;F Construcción;2015M10;19,99
Disueltas;F Construcción;2015M09;20,82
Disueltas;F Construcción;2015M08;19,75
Disueltas;F Construcción;2015M07;21,44
Disueltas;F Construcción;2015M06;19,53
Disueltas;F Construcción;2015M05;18,62
Disueltas;F Construcción;2015M04;20,21
Disueltas;F Construcción;2015M03;20,9
Disueltas;F Construcción;2015M02;19,68
Disueltas;F Construcción;2015M01;19,07
Disueltas;F Construcción;2014M12;18,76
Disueltas;F Construcción;2014M11;21,33
Disueltas;F Construcción;2014M10;20,22
Disueltas;F Construcción;2014M09;22,96
Disueltas;F Construcción;2014M08;24,04
Disueltas;F Construcción;2014M07;21,67
Disueltas;F Construcción;2014M06;21,49
Disueltas;F Construcción;2014M05;24,01
Disueltas;F Construcción;2014M04;21,77
Disueltas;F Construcción;2014M03;21,06
Disueltas;F Construcción;2014M02;18,82
Disueltas;F Construcción;2014M01;20,75
Disueltas;F Construcción;2013M12;22,51
Disueltas;F Construcción;2013M11;21,87
Disueltas;F Construcción;2013M10;20,71
Disueltas;F Construcción;2013M09;22,17
Disueltas;F Construcción;2013M08;22,49
Disueltas;F Construcción;2013M07;24,06
Disueltas;F Construcción;2013M06;21,75
Disueltas;F Construcción;2013M05;24,06
Disueltas;F Construcción;2013M04;24,14
Disueltas;F Construcción;2013M03;23,52
Disueltas;F Construcción;2013M02;23,48
Disueltas;F Construcción;2013M01;22,03
Disueltas;F Construcción;2012M12;19,86
Disueltas;F Construcción;2012M11;26,78
Disueltas;F Construcción;2012M10;23,01
Disueltas;F Construcción;2012M09;23,7
Disueltas;F Construcción;2012M08;21,59
Disueltas;F Construcción;2012M07;25,6
Disueltas;F Construcción;2012M06;26,53
Disueltas;F Construcción;2012M05;27,54
Disueltas;F Construcción;2012M04;25,62
Disueltas;F Construcción;2012M03;24,94
Disueltas;F Construcción;2012M02;25,27
Disueltas;F Construcción;2012M01;23,36
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2023M09;19,37
