Provincias;Clase de disolución;Periodo;Total
03 Alicante/Alacant;Voluntaria;2014M04;27
03 Alicante/Alacant;Voluntaria;2014M03;49
03 Alicante/Alacant;Voluntaria;2014M02;43
03 Alicante/Alacant;Voluntaria;2014M01;117
03 Alicante/Alacant;Voluntaria;2013M12;78
03 Alicante/Alacant;Voluntaria;2013M11;62
03 Alicante/Alacant;Voluntaria;2013M10;23
03 Alicante/Alacant;Voluntaria;2013M09;35
03 Alicante/Alacant;Voluntaria;2013M08;28
03 Alicante/Alacant;Voluntaria;2013M07;48
03 Alicante/Alacant;Voluntaria;2013M06;43
03 Alicante/Alacant;Voluntaria;2013M05;66
03 Alicante/Alacant;Voluntaria;2013M04;52
03 Alicante/Alacant;Voluntaria;2013M03;76
03 Alicante/Alacant;Voluntaria;2013M02;80
03 Alicante/Alacant;Voluntaria;2013M01;136
03 Alicante/Alacant;Voluntaria;2012M12;70
03 Alicante/Alacant;Voluntaria;2012M11;62
03 Alicante/Alacant;Voluntaria;2012M10;42
03 Alicante/Alacant;Voluntaria;2012M09;44
03 Alicante/Alacant;Voluntaria;2012M08;38
03 Alicante/Alacant;Voluntaria;2012M07;49
03 Alicante/Alacant;Voluntaria;2012M06;40
03 Alicante/Alacant;Voluntaria;2012M05;44
03 Alicante/Alacant;Voluntaria;2012M04;36
03 Alicante/Alacant;Voluntaria;2012M03;60
03 Alicante/Alacant;Voluntaria;2012M02;58
03 Alicante/Alacant;Voluntaria;2012M01;107
03 Alicante/Alacant;Por fusión;2022M12;0
03 Alicante/Alacant;Por fusión;2022M11;0
03 Alicante/Alacant;Por fusión;2022M10;0
03 Alicante/Alacant;Por fusión;2022M09;0
03 Alicante/Alacant;Por fusión;2022M08;0
03 Alicante/Alacant;Por fusión;2022M07;0
03 Alicante/Alacant;Por fusión;2022M06;0
03 Alicante/Alacant;Por fusión;2022M05;0
03 Alicante/Alacant;Por fusión;2022M04;0
03 Alicante/Alacant;Por fusión;2022M03;0
03 Alicante/Alacant;Por fusión;2022M02;0
03 Alicante/Alacant;Por fusión;2022M01;0
03 Alicante/Alacant;Por fusión;2021M12;0
03 Alicante/Alacant;Por fusión;2021M11;1
03 Alicante/Alacant;Por fusión;2021M10;0
03 Alicante/Alacant;Por fusión;2021M09;0
03 Alicante/Alacant;Por fusión;2021M08;0
03 Alicante/Alacant;Por fusión;2021M07;0
03 Alicante/Alacant;Por fusión;2021M06;0
03 Alicante/Alacant;Por fusión;2021M05;0
03 Alicante/Alacant;Por fusión;2021M04;0
03 Alicante/Alacant;Por fusión;2021M03;0
03 Alicante/Alacant;Por fusión;2021M02;0
