,Comunidad Autónoma,Forma jurídica,Sociedades o Capital desembolsado,Año,Número Sociedades/Capital,Población
1556,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2007,275.411,2.772.533
1557,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2006,32.227,2.767.524
1558,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2005,33.431,2.762.198
1559,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2004,9.262,2.750.985
1560,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2003,30.225,2.751.094
1561,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2002,23.814,2.737.370
1562,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2001,26.897,2.732.926
1563,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2000,,2.731.900
1564,12 Galicia,S.L.,Número de Sociedades,2022,3.795,2.692.825
1565,12 Galicia,S.L.,Número de Sociedades,2021,3.867,2.695.645
1566,12 Galicia,S.L.,Número de Sociedades,2020,3.198,2.701.819
1567,12 Galicia,S.L.,Número de Sociedades,2019,3.76,2.699.499
1568,12 Galicia,S.L.,Número de Sociedades,2018,4.011,2.701.743
1569,12 Galicia,S.L.,Número de Sociedades,2017,4.049,2.708.339
1570,12 Galicia,S.L.,Número de Sociedades,2016,4.51,2.718.525
1571,12 Galicia,S.L.,Número de Sociedades,2015,3.951,2.732.347
1572,12 Galicia,S.L.,Número de Sociedades,2014,4.252,2.748.695
1573,12 Galicia,S.L.,Número de Sociedades,2013,4.259,2.765.940
1574,12 Galicia,S.L.,Número de Sociedades,2012,4.12,2.781.498
1575,12 Galicia,S.L.,Número de Sociedades,2011,4.054,2.795.422
1576,12 Galicia,S.L.,Número de Sociedades,2010,3.996,2.797.653
1577,12 Galicia,S.L.,Número de Sociedades,2009,3.814,2.796.089
1578,12 Galicia,S.L.,Número de Sociedades,2008,5.358,2.784.169
1579,12 Galicia,S.L.,Número de Sociedades,2007,6.608,2.772.533
1580,12 Galicia,S.L.,Número de Sociedades,2006,6.911,2.767.524
1581,12 Galicia,S.L.,Número de Sociedades,2005,6.365,2.762.198
1582,12 Galicia,S.L.,Número de Sociedades,2004,5.973,2.750.985
1583,12 Galicia,S.L.,Número de Sociedades,2003,5.395,2.751.094
1584,12 Galicia,S.L.,Número de Sociedades,2002,4.884,2.737.370
1585,12 Galicia,S.L.,Número de Sociedades,2001,4.68,2.732.926
1586,12 Galicia,S.L.,Número de Sociedades,2000,5.029,2.731.900
1587,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2022,166.498,2.692.825
1588,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2021,195.798,2.695.645
1589,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2020,361.615,2.701.819
1590,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2019,316.412,2.699.499
1591,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2018,270.591,2.701.743
1592,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2017,315.768,2.708.339
1593,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2016,201.875,2.718.525
1594,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2015,366.18,2.732.347
1595,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2014,180.306,2.748.695
1596,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2013,221.786,2.765.940
1597,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2012,209.838,2.781.498
1598,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2011,173.544,2.795.422
1599,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2010,128.397,2.797.653
1600,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2009,149.794,2.796.089
1601,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2008,555.007,2.784.169
1602,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2007,442.259,2.772.533
1603,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2006,355.284,2.767.524
1604,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2005,346.038,2.762.198
1605,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2004,294.816,2.750.985
1606,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2003,233.121,2.751.094
1607,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2002,228.285,2.737.370
1608,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2001,314.085,2.732.926
1609,12 Galicia,S.L.,capital (en miles de euros) desembolsado,2000,,2.731.900
1610,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2022,3.0,2.692.825
1611,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2021,0.0,2.695.645
1612,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2020,2.0,2.701.819
1613,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2019,0.0,2.699.499
1614,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2018,1.0,2.701.743
1615,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2017,5.0,2.708.339
1616,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2016,8.0,2.718.525
1617,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2015,2.0,2.732.347
1618,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2014,0.0,2.748.695
1619,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2013,0.0,2.765.940
1620,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2012,0.0,2.781.498
1621,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2011,0.0,2.795.422
1622,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2010,0.0,2.797.653
1623,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2009,0.0,2.796.089
1624,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2008,0.0,2.784.169
1625,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2007,0.0,2.772.533
1626,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2006,1.0,2.767.524
1627,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2005,0.0,2.762.198
1628,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2004,1.0,2.750.985
1629,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2003,0.0,2.751.094
